suite,family,direction,method,case_id,h100_status,h100_parameters,h100_samples,h100_cycle_median,b200_status,b200_parameters,b200_samples,b200_cycle_median,ventus_status,ventus_parameters,ventus_samples,ventus_cycle,notes
feature,multi_cta,g2s,cooperative128,unique_4096_1xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=132;batch=0,6,210,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=148;batch=0,6,206,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,cooperative32,unique_4096_1xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=132;batch=0,6,344,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=148;batch=0,6,352,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,tma,unique_4096_1xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=132;batch=0,6,524,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=148;batch=0,6,571,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,cooperative128,unique_4096_2xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=264;batch=0,6,242,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=296;batch=0,6,231.500,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,cooperative32,unique_4096_2xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=264;batch=0,6,348,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=296;batch=0,6,353,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,tma,unique_4096_2xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=264;batch=0,6,575.500,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=296;batch=0,6,599,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,cooperative128,unique_4096_4xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=528;batch=0,6,297.500,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=592;batch=0,6,282,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,cooperative32,unique_4096_4xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=528;batch=0,6,362.500,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=592;batch=0,6,368,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,multi_cta,g2s,tma,unique_4096_4xsm,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=528;batch=0,6,610.500,passed,bytes=4096;rank=2;layout=contiguous;outstanding=1;ctas=592;batch=0,6,607,not_in_ventus_list,,0,,same xSM scale; numeric CTA count is architecture-dependent
feature,oob,g2s,tma,oob_100,passed,bytes=4096;rank=2;layout=oob100;outstanding=1;ctas=1;batch=0,6,460,passed,bytes=4096;rank=2;layout=oob100;outstanding=1;ctas=1;batch=0,6,461,passed,bytes=4096;rank=2;layout=oob100;outstanding=1;ctas=1;batch=0,1,146,exact numeric parameters
